,description,positive_comms,negative_comms,pluses,minuses
10,"мультиварка redmond rmc-m1505 с большим объемом чаши и многофункциональными возможностями поможет вам без труда приготовить разнообразные блюда. этот устройство оснащено высококачественной нержавеющей сталью внутри и прочным корпусом из пластика сендвичного типа, что обеспечивает его долговечность и устойчивость к различным видам повреждений. мультиварку redmond rmc-m1505 можно использовать для приготовления различных видов пищи, таких как мясо, овощи, рыба, супы, каши, десерты и многое другое. благодаря удобному управлению и большому выбору программ приготовления, вы сможете легко кулинарить разнообразные блюда для себя и своей семьи. мультиварка имеет функцию таймера, что позволяет вам настроить время приготовления блюда, а затем она автоматически выключится. кроме того, мультиварка имеет низкое энергопотребление, что помогает экономить электроэнергию. продуманный дизайн и компактные размеры делают эту мультиварку идеальным помощником на кухне. 

","['1. ""очень довольна покупкой этой мультиварки! она делает всю работу за вас - просто добавьте ингредиенты и выберите программу, остальное она сделает сама. очень удобно и вкусно!""', '2. ""мультиварка redmond rmc-m1505 - моя любимая покупка для кухни! она быстро и легко готовит самые разнообразные блюда, а также помогает экономить мое время. рекомендую всем!""']","['1. ""у меня несколько раз произошла неисправность с программами приготовления. когда я устанавливаю одну программу, она автоматически переключается на другую. это довольно раздражает.""', '2. ""не очень доволен качеством сборки этой мультиварки. внутри некоторых деталей видны следы коррозии, что вызывает сомнения в долговечности товара.""']","многофункциональность, большой объем чаши, прочность и долговечность, удобное управление с выбором программ, автоматическое отключение, низкое энергопотребление, компактные размеры.
","возможные неисправности с программами приготовления, сомнения в качестве сборки."
11,"
электрическая зубная щетка sonicclean pro - это инновационное решение для эффективного и безопасного удаления зубного налета. благодаря высокочастотным вибрациям до 40 000 движений в минуту, эта щетка глубоко очищает зубы, удаляя налет и предотвращая появление зубного камня. устройство оснащено 3 режимами работы, позволяющими выбрать оптимальный уровень интенсивности для вашей чувствительности зубов. щетка имеет эргономичную форму и прорезиненную текстуру для комфортного и удобного использования. батарея обеспечивает продолжительную автономную работу, а удобное зарядное устройство позволяет быстро и легко заряжать щетку. 

","['1. я очень доволен этой зубной щеткой. она мягко и эффективно очищает зубы, делая их значительно более гладкими. режимы работы позволяют выбрать оптимальный уровень для моих чувствительных зубов. батарея держится достаточно долго, что очень удобно в длительных поездках. очень рекомендую!', '2. зубная щетка sonicclean pro - лучшая покупка для здоровья моих зубов. благодаря интенсивным вибрациям и качественным щетинкам, она отлично очищает даже самые труднодоступные места. удобный дизайн и хорошее качество материалов делают ее идеальной для ежедневного использования.']","['1. щетка перестала работать через несколько месяцев использования. неудобно, что гарантия на нее всего 6 месяцев. ожидал большей надежности.', '2. щетка работает хорошо, но щетинки изнашиваются очень быстро. приходится часто менять насадку.']","эффективно очищает зубы, разные режимы работы, долгая автономная работа, удобный дизайн и зарядное устройство.

","надежность работы (сокращенный срок службы, небольшая гарантия), быстрое изношение щетинок."
12,"электронный чайник ""термомастер"" является современным и надежным устройством, предназначенным для быстрого и эффективного кипячения воды. обладая вместительным объемом в 1,7 литра, чайник позволяет приготовить достаточное количество горячих напитков для всей семьи или гостей. благодаря прочному корпусу из нержавеющей стали, чайник прослужит вам долгие годы, не теряя своей внешней привлекательности. устройство оснащено индикаторной подсветкой, которая позволяет удобно отслеживать процесс кипячения. за счет функции автоматического отключения, чайник самостоятельно отключается от сети после закипания воды, что экономит электроэнергию и предохраняет устройство от перегрева. 

","['1. ""чайник ""термомастер"" - отличное приобретение! он нагревает и кипятит воду очень быстро, несмотря на свою вместительность. кроме того, он очень удобен в использовании - есть кнопка для открытия крышки и маркер уровня воды. дизайн тоже привлекательный, глянцевый корпус из нержавеющей стали смотрится современно и стильно. рекомендую!""', '2. ""удобный и надежный чайник! я очень довольна его функциональностью и качеством. вода вскипает быстро, а благодаря автоматическому отключению, не нужно беспокоиться о перегреве. индикаторная подсветка - это очень удобно, особенно в темное время суток. рекомендую всем!""']","['1. ""вибрация при работе чайника очень сильная. кажется, что чайник вот-вот упадет с подставки. достаточно неудобная особенность, особенно если использовать чайник на высокой мощности.""', '2. ""чайник нагревает воду быстро, но я заметила, что долго остывает после использования. иногда это вызывает неудобства, особенно когда нужно быстро снова вскипятить воду.""']","быстрое кипячение, вместительность, прочный корпус, индикаторная подсветка, функция автоматического отключения от сети
","сильная вибрация при работе, долгое остывание после использования, возможные неприятные запахи"
13,"электрический чайник ""ecopro"" - это стильный и функциональный прибор, который обязательно станет незаменимым помощником на кухне. он имеет лаконичный дизайн с глянцевым пластиковым корпусом, которая отлично впишется в любой интерьер. чайник оснащен мощным нагревательным элементом, который позволяет быстро вскипятить воду. емкость чайника составляет 1,7 литра, что достаточно для приготовления большого количества горячих напитков. также в чайнике есть фильтр для очистки воды от накипи и масляной пропитки, что обеспечивает здоровье и превосходный вкус напитков. управление чайником осуществляется посредством электронных кнопок, что делает его использование максимально удобным и интуитивно понятным. благодаря удобной ручке и легкому весу чайника, его можно легко переставлять по кухне. защита от перегрева и автоматическое отключение являются дополнительными безопасными функциями данного чайника.

","['1. ""чайник ecopro - просто находка! он выполняет свои функции на отлично, вода быстро нагревается. дизайн очень современный и элегантный - он прекрасно смотрится на моей кухне. кнопки управления удобные, все функции понятны. пользуюсь уже несколько месяцев и очень довольна покупкой!""', '2. ""мне нравится, что в чайнике есть фильтр для очистки воды. теперь я могу быть уверен, что мой чай будет вкусным и полезным. этот чайник также очень быстро нагревает воду - за несколько минут можно налить чашку чая! очень удобно и практично.""']","['1. ""у меня этот чайник недолго прослужил. через пару месяцев после покупки он перестал нагревать воду. пришлось сдать на ремонт, потратил много времени и сил. не очень доволен качеством данного товара.""', '2. ""мне не понравилось качество пластика, из которого сделан чайник. он быстро царапается и потерял свой первоначальный блеск. дизайн, хоть и современный, но кажется не очень прочным.""']","стильный дизайн, быстрое нагревание воды, вместительность 1,7 литра, фильтр для очистки воды, удобные электронные кнопки управления, легкий вес и удобная ручка для перестановки, защита от перегрева и автоматическое отключение.

","недолговечность некоторых экземпляров, качество пластика, склонность к царапинам, остаточная вода на дне после нагревания."
14,"

представляем вам новый электрический чайник ""эко лайт""! этот стильный и функциональный чайник идеально подойдет для приготовления горячих напитков, будь то чай или кофе. он имеет емкость 1,7 литра, что позволяет вам приготовить достаточное количество напитка для всей семьи или гостей. чайник оснащен мощным нагревательным элементом, который позволяет быстро закипятить воду. благодаря интеллектуальной системе автоматического выключения, чайник самостоятельно отключается при закипании, что обеспечивает безопасность использования. кроме того, он имеет прочный корпус из нержавеющей стали, который легко моется и долговечен. также в комплекте с чайником идет удобный съемный фильтр для чая или кофе, который позволяет приготовить напиток прямо в чайнике, избегая использования дополнительных посудин. приобретайте электрический чайник ""эко лайт"" и наслаждайтесь комфортом и удобством при приготовлении горячих напитков! 

","['1. отличный чайник, все работает как часы! быстро закипает воду, ровно наливает, не течет. дизайн очень стильный и современный, подходит для любой кухни. удобный фильтр позволяет приготовить чай прямо в чайнике, без лишних проблем. рекомендую!', '2. купила этот чайник на подарок своим родителям - они в восторге! он очень прост в использовании, несложно заправить фильтр и налить воду. благодаря быстрому нагреву, они могут сразу насладиться своими любимыми горячими напитками. качество сборки и материалов отличное, уверена, что чайник прослужит долго.']","['1. очень разочарована покупкой. чайник начал течь уже через несколько месяцев использования. кроме того, кнопка открытия крышки очень слабая и часто заедает. не рекомендую покупать.', '2. чайник не соответствует заявленной мощности. время закипания воды значительно превышает заявленное. кроме того, он очень шумный во время работы. очень расстроен покупкой.']","быстрый нагрев воды, интеллектуальная система автоматического выключения, стильный и прочный дизайн, удобный съемный фильтр для чая или кофе, прост в использовании.
","склонность к протечкам, слабая кнопка открытия крышки, несоответствие заявленной мощности, может появиться накипь на нагревательном элементе."
15,"электрическая чайник-заварочник объемом 1,5 литра представляет собой удобный и функциональный прибор для приготовления чая. он выполнен из высококачественной нержавеющей стали, что обеспечивает его прочность и долговечность. чайник оснащен индикатором уровня воды, который позволяет контролировать количество жидкости, а также регулятором температуры. заварочный отсек с сетчатыми стенками позволяет с успехом использовать как чайные пакетики, так и свежие листья. благодаря высокой мощности в 2000 вт, вода быстро закипает, экономя время и энергию. стильный дизайн и удобная ручка делают этот чайник-заварочник идеальным добавлением к вашей кухне.
","['1) отличная вещь! быстро нагревает воду и отлично заваривает чай. большой объем позволяет приготовить чаю на несколько чашек сразу. 2) очень удобный чайник, все просто и интуитивно понятно. регулятор температуры пригодился для заваривания разных сортов чая. качество сборки на высоте, нет никаких нареканий.']","['1) не стоит своих денег. сначала он громко пищит, потом чайник начал протекать со дна. не смог использовать его долго. 2) представляла, что будет лучше. не долит пары лет, а уже треснул. качество оставляет желать лучшего.']","быстрый нагрев воды, регулятор температуры, удобство использования, большой объем, прочность и долговечность материалов.
","громкий писк при использовании, возможность протечек, трескучесть и не высокая мощность."
16,"электрическая зубная щетка sonicclean с ультразвуковой технологией и стильным дизайном. щетка оснащена вращающейся головкой и долговечными щетками смягченной щетиной, что обеспечивает эффективное и бережное очищение зубов и десен. уникальная функция пульсации и вибрации помогает удалить до 10 раз больше налета, чем обычная зубная щетка. щетка оснащена двумя режимами работы - стандартным и деликатным, что позволяет выбрать наиболее комфортное чистку. встроенный таймер обеспечивает оптимальную длительность процедуры чистки зубов.

","['1. очень эффективная щетка, зубы стали чище и свежее после каждого использования. ', '2. ультразвуковая технология действительно работает - мои зубы стали на вид белее уже после первой недели использования.']","['1. щетка создает слишком сильные вибрации, что вызывает некоторый дискомфорт во время чистки. ', '2. неудобно менять режимы работы на ходу, кнопки расположены слишком близко друг к другу.']","эффективное и бережное очищение зубов и десен, функция пульсации и вибрации, два режима работы, встроенный таймер, ультразвуковая технология, улучшение видимости белоснежности зубов.

","слишком сильные вибрации, неудобное расположение кнопок для смены режимов работы."
17,"электрическая зубная щетка sonicclean pro - инновационное решение для вашей полной устной гигиены. имеющая компактную и эргономичную форму, эта щетка оснащена двигателем с высокой частотой вращения, создавая мощную вибрацию, которая эффективно удаляет до 4 раз больше налета и зубного камня по сравнению с обычной щеткой. технология sonicclean обеспечивает мягкое и глубокое очищение зубов, при этом аккуратно массируя десны и повышая кровообращение для более здоровых десен. благодаря таймеру, встроенному в ручку, вы можете быть уверены, что правильно чистите зубы в течение рекомендуемых двух минут. в комплекте с электрической щеткой поставляются три сменных насадки разного степени мягкости, а также зарядное устройство. 

","['1. ""отличная щетка! она действительно эффективно очищает зубы и делает их гладкими. к тому же, массаж десен действительно приятный, десны становятся здоровее. очень доволен этой покупкой!""', '2. ""у меня нежные зубы, но эта щетка не вызывает никаких дискомфортных ощущений или раздражений. она действительно эффективно и мягко очищает каждый зуб. благодаря таймеру, я уверен, что провожу достаточное количество времени на чистку. рекомендую!""']","['1. ""насадки быстро износятся и нужно часто покупать новые, что делает эксплуатацию этой зубной щетки довольно дорогой. возможно, производитель мог предоставить больше насадок в комплекте"".', '2. ""мощная вибрация устройства может вызывать неприятные ощущения у людей с чувствительными зубами. я не могу использовать эту щетку каждый день из-за этого"".']","эффективное удаление налета и зубного камня, мягкое и глубокое очищение, массаж десен, встроенный таймер, компактный и эргономичный дизайн, поставляется с тремя сменными насадками.
","быстрое изношение насадок, возможные неприятные ощущения при мощной вибрации, длительное время зарядки, высокая цена."
18,"электрический чайник ""супербыстрый"" - это современное и стильное устройство, которое поможет вам быстро и удобно вскипятить воду для чая или кофе. чайник выполнен из высококачественной нержавеющей стали, что обеспечивает его долговечность и стойкость к коррозии. он имеет емкость 1,7 литра и мощность 2200 вт, благодаря чему вода нагревается всего за несколько минут. для удобства использования предусмотрена возможность поворота на 360 градусов на основании, а также наличие индикатора уровня воды и автоматического отключения при кипении. электрический чайник ""супербыстрый"" - это идеальное решение для тех, кто ценит свое время и стремится к комфорту.

","['1. отличный чайник! вода кипит буквально за пару минут, что очень удобно, особенно утром, когда времени на завтрак не так много. также нравится его стильный дизайн и компактные размеры.', '2. удобная функция автоматического отключения - это просто спасение. до этого часто забывала выключать чайник и это приходилось платить лишние деньги за уходящую на ветер электроэнергию. теперь все стало гораздо легче!']","['1. к сожалению, чайник начал шуметь после некоторого времени использования. это достаточно неприятно, особенно в тихой обстановке. ', '2. мощность чайника вполне приемлемая, но если необходимо вскипятить большой объем воды, то процесс может затянуться на довольно долгое время.']","быстрое кипячение воды, стильный дизайн, компактные размеры, удобная функция автоматического отключения, стабильная работа.

","шум во время работы, ограниченная мощность для большого объема воды, ничего особенного в качестве материалов."
19,"

наушники xyz-2000 – это современные и стильные наушники, предназначенные для тех, кто ценит качественное звучание и комфорт. они оснащены большими звуковыми драйверами, которые обеспечивают отличное качество звука с четкими высокими и глубокими басами. наушники имеют эргономичный дизайн, который обеспечивает идеальную посадку на уши и комфорт даже при длительном использовании. они также обладают встроенным микрофоном и пультом управления, чтобы вы могли управлять музыкой и принимать звонки без необходимости доставать смартфон. также в комплекте идет удобная сумка для хранения и переноски наушников. у наушников xyz-2000 отличное соотношение цены и качества, что делает их прекрасным выбором для всех меломанов. 

","['1. отличные наушники за свою цену! качество звука просто потрясающее, высокие и низкие частоты звучат ясно и глубоко. их удобно носить благодаря эргономичному дизайну, и они не вызывают дискомфорта даже после нескольких часов использования. было приятно обнаружить в комплекте сумку для хранения, так что я могу легко брать их с собой в дорогу.', '2. пользуюсь этими наушниками уже несколько месяцев и очень доволен. они имеют отличное качество звука и шумоизоляцию, что позволяет мне наслаждаться музыкой без посторонних шумов. микрофон также работает хорошо, и мне удобно использовать его для звонков. наушники выполнены из прочных материалов, поэтому я уверен, что они будут служить долго.']","['1. к сожалению, эти наушники не подошли мне. качество звука явно не на уровне, ожидаемого от такой цены. высокие частоты звучат искаженно, а низкие басы не такие глубокие, как я хотел бы. к тому же, после нескольких часов использования, они вызывают дискомфорт на ушах. не рекомендую.', '2. покупка данных наушников оказалась разочарованием. их заявленная шумоизоляция не справляется с окружающими звуками, и я постоянно слышу шумы вокруг. кроме того, микрофон работает с ошибками, и меня часто не слышат во время звонка. за эту цену можно найти гораздо лучшие варианты.']","
- отличное качество звука;
- удобный эргономичный дизайн;
- встроенный микрофон и пульт управления;
- сумка для хранения и переноски в комплекте;
- хорошее соотношение цены и качества.

","
- искажения на высоких частотах;
- могут вызывать дискомфорт после длительного использования;
- недостаточная шумоизоляция;
- проблемы с микрофоном.
 "
20,"электронный планшет ""smartpad"" - это высокотехнологичное устройство, предназначенное для мультимедийного использования, работы с документами и интернет-серфинга. планшет имеет 10-дюймовый сенсорный экран с высоким разрешением, что обеспечивает отличное качество изображения. благодаря процессору с большим объемом оперативной памяти планшет работает очень быстро и без задержек. устройство оснащено встроенной камерой высокого разрешения, позволяющей делать четкие фотографии и записывать видео. кроме того, планшет имеет удобную клавиатуру и многофункциональный сенсорный экран, что делает использование устройства очень комфортным. батарея планшета имеет большой запас, что позволяет использовать устройство в течение длительного времени без подзарядки.
","['1. ""отличный планшет! работает быстро и очень удобно. качество изображения просто потрясающее, особенно на таком большом экране. устройство легко справляется с запуском игр и работы с документами. очень рад покупке!""', '2. ""камера на этом планшете удивительная! я делал на ней фотографии и видео - качество просто потрясающее. идеально подходит для людей, которые любят снимать моменты и делиться ими в социальных сетях.""']","['1. ""у меня возникли проблемы со сбоем приложений на этом планшете. иногда они просто вылетают, и это доставляет неудобства при работе. надеюсь, эта проблема будет решена в обновлении операционной системы.""', '2. ""недоволен звуком на этом планшете. громкость звука довольно низкая, особенно при использовании на улице или в шумном месте. для прослушивания музыки или просмотра фильмов приходится подключать наушники.""']","высокое разрешение экрана, быстрый процессор, качественная камера, удобная клавиатура, длительное время работы от батареи
","возможные сбои при работе с приложениями, низкая громкость звука, некоторое неудобство из-за веса устройства, не всегда удобная клавиатура для быстрого набора текста."
